Q_LBS, eps, pathLength, niters, approxDist, origDist, truePath
QRome_LBS1, 1, 5, 3, 1.373846591274069, 1.2167605132909616, 2034 1970 1907 2033 2096
QRome_LBS2, 1, 5, 3, 1.5071799246074022, 1.412899020449196, 2034 1970 1907 2033 2096
QRome_LBS0, 0.3, 6, 3, 1.8802473837251783, 2.7451861902524124, 3152 3088 3153 3154 3092 3155
QRome_LBS1, 0.3, 6, 3, 4.250751393638357, 4.087099057920389, 3152 3088 3153 3154 3092 3155
QRome_LBS2, 0.3, 6, 3, 4.305011206783348, 4.146898928202964, 3152 3088 3153 3154 3092 3155
QRome_LBS0, 0.4, 6, 3, 2.031492528768572, 3.337947822086471, 3152 3088 3153 3154 3092 3155
QRome_LBS1, 0.4, 6, 3, 2.501704413540515, 2.35483170074866, 3152 3088 3153 3154 3092 3155
QRome_LBS2, 0.4, 6, 3, 2.5893280836663637, 2.4288807432286306, 3152 3088 3153 3154 3092 3155
QRome_LBS0, 0.5, 6, 3, 1.3674595321516962, 2.0213038212941554, 3152 3088 3153 3154 3092 3155
QRome_LBS1, 0.5, 6, 3, 1.4178201740300351, 1.4120226591665965, 3152 3088 3153 3154 3092 3155
QRome_LBS2, 0.5, 6, 3, 1.8831002589090562, 1.8831002589090562, 3152 3088 3153 3154 3092 3155
QRome_LBS0, 0.6, 6, 3, 1.1409621771105976, 1.5532520683640576, 3152 3088 3153 3154 3092 3155
QRome_LBS1, 0.6, 6, 3, 0.9841542578954926, 1.0, 3152 3088 3153 3154 3092 3155
QRome_LBS2, 0.6, 6, 3, 1.391955549286697, 1.391955549286697, 3152 3088 3153 3154 3092 3155
QRome_LBS0, 0.8, 6, 3, 0.5134800381732937, 1.3253814668642385, 3152 3088 3153 3154 3092 3155
QRome_LBS1, 0.8, 6, 3, 0.813904529992938, 1.0, 3152 3088 3153 3154 3092 3155
QRome_LBS2, 0.8, 6, 3, 1.2013954666712516, 1.2013954666712516, 3152 3088 3153 3154 3092 3155
QRome_LBS0, 1, 6, 3, 0.7898923887182563, 0.796860185857057, 3152 3088 3153 3154 3092 3155
QRome_LBS1, 1, 6, 3, 2.646900223935521, 2.54480453838932, 3152 3088 3153 3154 3092 3155
QRome_LBS2, 1, 6, 3, 2.7463978739745203, 2.585950533536787, 3152 3088 3153 3154 3092 3155
QRome_LBS0, 0.3, 6, 3, 2.1396313993837732, 3.024330883468353, 3126 3127 3126 3125 3124 3186
QRome_LBS1, 0.3, 6, 3, 5.086744373683459, 5.0, 3126 3127 3126 3125 3124 3186
QRome_LBS2, 0.3, 6, 3, 4.134050800762821, 4.26357149254912, 3126 3127 3126 3125 3124 3186
QRome_LBS0, 0.4, 6, 3, 1.9806524113026973, 2.102319981000428, 3126 3127 3126 3125 3124 3186
QRome_LBS1, 0.4, 6, 3, 1.6750501464431162, 1.6881650340819934, 3126 3127 3126 3125 3124 3186
QRome_LBS2, 0.4, 6, 3, 2.688405236862897, 2.2903154500512963, 3126 3127 3126 3125 3124 3186
QRome_LBS0, 0.5, 6, 3, 1.5938674167960283, 2.388287344602445, 3126 3127 3126 3125 3124 3186
QRome_LBS1, 0.5, 6, 3, 1.2527679547479527, 1.0786893258332633, 3126 3127 3126 3125 3124 3186
QRome_LBS2, 0.5, 6, 3, 1.5852167135191106, 1.7721034374457179, 3126 3127 3126 3125 3124 3186
QRome_LBS0, 0.6, 6, 3, 1.0758747951520526, 1.5359422521987254, 3126 3127 3126 3125 3124 3186
QRome_LBS1, 0.6, 6, 3, 2.410997777259561, 2.461721602378168, 3126 3127 3126 3125 3124 3186
QRome_LBS2, 0.6, 6, 3, 1.4036245138527008, 1.6528068124215103, 3126 3127 3126 3125 3124 3186
QRome_LBS0, 0.8, 6, 3, 0.588707925187165, 0.7111137861625897, 3126 3127 3126 3125 3124 3186
QRome_LBS1, 0.8, 6, 3, 2.445460818951294, 2.5762189670272164, 3126 3127 3126 3125 3124 3186
QRome_LBS2, 0.8, 6, 3, 1.860174365837174, 1.860174365837174, 3126 3127 3126 3125 3124 3186
QRome_LBS0, 1, 6, 3, 0.5131148876388772, 0.6333869728393305, 3126 3127 3126 3125 3124 3186
